"switch","partners","total.cons"
3,6,250223.757985
3,7,250796.256125
3,8,251249.099397
3,9,251956.665961
3,10,251514.666728
3,11,252368.981203
3,12,251975.539361
3,13,252049.597201
3,14,251745.05514
3,15,250802.39241
3,16,249861.14893
3,17,251309.652447
3,18,251594.328146
3,19,250417.265864
3,20,248976.916773
3,21,246462.450273
3,22,247637.622848
3,23,248172.917297
3,24,245671.982342
3,25,245218.259634
3,26,244248.863313
3,27,247691.208443
3,28,244424.022303
3,29,243869.776586
3,30,243589.19281
3,31,243368.753348
3,32,241665.322798
3,33,242452.222578
3,34,245093.910388
3,35,240381.888305
3,36,244440.529236
3,37,241798.759981
3,38,241566.459008
3,39,240697.419111
3,40,240582.325733
3,41,241078.811503
3,42,240802.584949
3,43,241127.318633
3,44,240262.076671
3,45,239910.117813
3,46,240179.07441
3,47,239857.384081
3,48,238966.523421
3,49,243717.275702
3,50,240345.18259
3,51,240581.225011
3,52,237011.974588
3,53,239990.469537
3,54,243581.285077
3,55,238419.047197
3,56,240265.708787
3,57,240856.013761
3,58,242841.673693
3,59,242710.454865
3,60,238507.135048
3,61,237898.67486
3,62,234956.27891
3,63,241253.704227
3,64,239024.111216
3,65,241335.944204
3,66,240081.020251
3,67,242073.5333
3,68,234406.422639
3,69,249376.511532
3,70,239702.204941
3,71,238169.438562
3,72,237951.044273
3,73,236756.902025
3,74,236183.063648
3,75,236364.332937
3,76,238358.825952
3,77,237379.002518
3,78,236903.776691
3,79,240863.411451
3,80,238333.527629
3,81,237801.828685
3,82,237431.828329
3,83,235864.692009
3,84,238400.752597
3,85,237444.449806
3,86,234796.247404
3,87,239578.88413
3,88,237941.672357
3,89,230052.616268
3,90,239174.544097
3,91,237521.013937
3,92,236123.638745
3,93,238664.831515
3,94,239536.400238
3,95,237495.638032
3,96,238696.401931
3,97,237824.000361
3,98,238732.725463
3,99,239164.625163
3,100,234542.565052
4,0,28484.162503
4,1,210121.164763
4,2,233045.515921
4,3,241944.296019
4,4,246637.456899
4,5,248839.577702
4,6,250233.255923
4,7,250656.623828
4,8,251372.89703
4,9,251544.761954
4,10,252260.011465
4,11,252095.161714
4,12,252514.033789
4,13,251210.505765
4,14,252299.04043
4,15,251658.623723
4,16,251050.94513
4,17,251381.247864
4,18,251207.031959
4,19,249065.778715
4,20,249886.062647
4,21,248133.009141
4,22,248380.722504
4,23,247532.838923
4,24,246874.328976
4,25,243970.420169
4,26,244127.981743
4,27,246064.209582
4,28,246399.561599
4,29,245724.057405
4,30,243966.962273
4,31,245121.900832
4,32,243275.310563
4,33,243896.89162
4,34,243777.293723
4,35,241439.292207
4,36,241397.693057
4,37,240160.633833
4,38,242765.881719
4,39,243093.564923
4,40,240812.718571
4,41,243339.547359
4,42,242691.161463
4,43,237465.191319
4,44,240203.055885
4,45,243718.230648
4,46,240665.23299
4,47,237443.764188
4,48,239750.792589
4,49,243179.959317
4,50,241716.816013
4,51,239343.678193
4,52,239528.23477
4,53,239265.537386
4,54,238794.440057
4,55,239605.708186
4,56,238209.105594
4,57,238119.262282
4,58,237495.068588
4,59,238849.732794
4,60,241543.723807
4,61,235481.883599
4,62,234875.295091
4,63,238281.123964
4,64,233075.167181
4,65,237875.737885
4,66,238825.096597
4,67,241115.037581
4,68,239570.736646
4,69,238740.713428
4,70,240585.971228
4,71,234904.99765
4,72,237541.62862
4,73,239953.824721
4,74,233975.082305
