amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
0.671035, 0.637501, 0.068326, 4.986297, 7.840000, F
0.772478, 0.733916, 0.073240, 2.632789, 7.840000, G
0.516535, 0.653656, 0.067507, 4.087576, 7.840000, H
0.637623, 0.684422, 0.107487, 4.042147, 7.840000, I
2.501958, 0.734983, 0.074278, 2.240037, 7.840000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 25
0.387918, 0.636262, 0.070752, 2.978407, 7.780000, A
1.044679, 0.634134, 0.066287, 1.912332, 7.780000, B
1.464701, 0.645369, 0.079784, 2.021896, 7.780000, C
1.168551, 0.430021, 0.059399, 2.585320, 7.780000, D
1.127113, 0.656002, 0.071268, 2.509260, 7.780000, E
0.671035, 0.511638, 0.060733, 4.986297, 7.780000, F
0.772478, 0.623890, 0.063372, 2.632789, 7.780000, G
0.516535, 0.705900, 0.088170, 4.087576, 7.780000, H
0.637623, 0.797781, 0.097094, 4.042147, 7.780000, I
2.501958, 0.676949, 0.068544, 2.240037, 7.780000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 26
0.387918, 0.549431, 0.063016, 2.978407, 7.820000, A
1.044679, 0.609273, 0.070219, 1.912332, 7.820000, B
1.464701, 0.585184, 0.068508, 2.021896, 7.820000, C
1.168551, 0.393195, 0.057358, 2.585320, 7.820000, D
1.127113, 0.550913, 0.061699, 2.509260, 7.820000, E
0.671035, 0.438667, 0.057641, 4.986297, 7.820000, F
0.772478, 0.538345, 0.056065, 2.632789, 7.820000, G
0.516535, 0.664627, 0.070170, 4.087576, 7.820000, H
0.637623, 0.632812, 0.070255, 4.042147, 7.820000, I
2.501958, 0.652333, 0.063738, 2.240037, 7.820000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 27
0.387918, 0.518995, 0.059973, 2.978407, 7.850000, A
1.044679, 0.550883, 0.058265, 1.912332, 7.850000, B
1.464701, 0.525524, 0.061330, 2.021896, 7.850000, C
1.168551, 0.460055, 0.065598, 2.585320, 7.850000, D
1.127113, 0.473712, 0.054272, 2.509260, 7.850000, E
0.671035, 0.454999, 0.061885, 4.986297, 7.850000, F
0.772478, 0.478386, 0.062237, 2.632789, 7.850000, G
0.516535, 0.557679, 0.054032, 4.087576, 7.850000, H
0.637623, 0.502353, 0.060582, 4.042147, 7.850000, I
2.501958, 0.555182, 0.055373, 2.240037, 7.850000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 28
0.387918, 0.466073, 0.051508, 2.978407, 7.780000, A
1.044679, 0.472160, 0.051448, 1.912332, 7.780000, B
