amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 15
0.387918, 2.901847, 0.225898, 2.978407, 7.210000, A
1.044679, 2.846139, 0.225896, 1.912332, 7.210000, B
1.464701, 2.887040, 0.257704, 2.021896, 7.210000, C
1.168551, 2.871678, 0.266448, 2.585320, 7.210000, D
1.127113, 2.858323, 0.275520, 2.509260, 7.210000, E
0.671035, 2.987331, 0.223967, 4.986297, 7.210000, F
0.772478, 2.883786, 0.271669, 2.632789, 7.210000, G
0.516535, 2.988564, 0.258840, 4.087576, 7.210000, H
0.637623, 2.973216, 0.246238, 4.042147, 7.210000, I
2.501958, 2.870550, 0.285707, 2.240037, 7.210000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 16
0.387918, 2.827927, 0.250132, 2.978407, 7.330000, A
1.044679, 2.759888, 0.224379, 1.912332, 7.330000, B
1.464701, 2.783664, 0.246167, 2.021896, 7.330000, C
1.168551, 2.781384, 0.252343, 2.585320, 7.330000, D
1.127113, 2.796063, 0.267460, 2.509260, 7.330000, E
0.671035, 2.964479, 0.237187, 4.986297, 7.330000, F
0.772478, 2.825253, 0.248714, 2.632789, 7.330000, G
0.516535, 2.907972, 0.221182, 4.087576, 7.330000, H
0.637623, 2.897887, 0.225693, 4.042147, 7.330000, I
2.501958, 2.753751, 0.268342, 2.240037, 7.330000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 17
0.387918, 2.778994, 0.241908, 2.978407, 7.220000, A
1.044679, 2.698321, 0.227749, 1.912332, 7.220000, B
1.464701, 2.701515, 0.247117, 2.021896, 7.220000, C
1.168551, 2.674667, 0.236163, 2.585320, 7.220000, D
1.127113, 2.731173, 0.255982, 2.509260, 7.220000, E
0.671035, 2.827770, 0.208534, 4.986297, 7.220000, F
0.772478, 2.759028, 0.251321, 2.632789, 7.220000, G
0.516535, 2.842795, 0.207205, 4.087576, 7.220000, H
0.637623, 2.859185, 0.256770, 4.042147, 7.220000, I
2.501958, 2.681528, 0.256694, 2.240037, 7.220000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 18
0.387918, 2.730644, 0.242638, 2.978407, 7.200000, A
1.044679, 2.636859, 0.215334, 1.912332, 7.200000, B
1.464701, 2.619130, 0.249385, 2.021896, 7.200000, C
1.168551, 2.592281, 0.237009, 2.585320, 7.200000, D
1.127113, 2.656762, 0.246051, 2.509260, 7.200000, E
0.671035, 2.719064, 0.212938, 4.986297, 7.200000, F
0.772478, 2.707410, 0.241953, 2.632789, 7.200000, G
0.516535, 2.757090, 0.202284, 4.087576, 7.200000, H
0.637623, 2.764116, 0.244071, 4.042147, 7.200000, I
2.501958, 2.617365, 0.267749, 2.240037, 7.200000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 19
0.387918, 2.643308, 0.227181, 2.978407, 7.230000, A
1.044679, 2.580693, 0.225885, 1.912332, 7.230000, B
1.464701, 2.565735, 0.251690, 2.021896, 7.230000, C
1.168551, 2.542066, 0.229169, 2.585320, 7.230000, D
1.127113, 2.615689, 0.255160, 2.509260, 7.230000, E
0.671035, 2.660118, 0.214591, 4.986297, 7.230000, F
0.772478, 2.631361, 0.245417, 2.632789, 7.230000, G
0.516535, 2.651674, 0.200899, 4.087576, 7.230000, H
0.637623, 2.744320, 0.247243, 4.042147, 7.230000, I
2.501958, 2.535223, 0.258574, 2.240037, 7.230000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 20
0.387918, 2.560324, 0.212728, 2.978407, 7.260000, A
1.044679, 2.514762, 0.229425, 1.912332, 7.260000, B
1.464701, 2.503204, 0.250848, 2.021896, 7.260000, C
1.168551, 2.516143, 0.234125, 2.585320, 7.260000, D
1.127113, 2.527328, 0.235745, 2.509260, 7.260000, E
0.671035, 2.619355, 0.214461, 4.986297, 7.260000, F
0.772478, 2.544659, 0.242690, 2.632789, 7.260000, G
0.516535, 2.549507, 0.193656, 4.087576, 7.260000, H
