amount produced/need, avg price, sd, consumption_rate, char
 year: 1
2.089728, 0.139443, 0.021846, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 36
1.236869, 0.132621, 0.017913, 2.978407,A
2.009290, 0.126394, 0.019257, 1.912332,B
1.427492, 0.125881, 0.020053, 2.021896,C
1.315148, 0.123804, 0.018944, 2.585320,D
1.174297, 0.121617, 0.019863, 2.509260,E
0.437581, 0.130841, 0.017413, 4.986297,F
1.703011, 0.127976, 0.019326, 2.632789,G
0.685894, 0.132226, 0.017904, 4.087576,H
0.492440, 0.134154, 0.017535, 4.042147,I
2.089728, 0.122683, 0.019726, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 37
1.236869, 0.115937, 0.016527, 2.978407,A
2.009290, 0.111941, 0.017497, 1.912332,B
1.427492, 0.110861, 0.018170, 2.021896,C
1.315148, 0.110316, 0.016865, 2.585320,D
1.174297, 0.107254, 0.018522, 2.509260,E
0.437581, 0.117019, 0.015448, 4.986297,F
1.703011, 0.113106, 0.016524, 2.632789,G
0.685894, 0.119517, 0.016820, 4.087576,H
0.492440, 0.116300, 0.014862, 4.042147,I
2.089728, 0.109522, 0.018048, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 38
1.236869, 0.100930, 0.014724, 2.978407,A
2.009290, 0.099184, 0.015795, 1.912332,B
1.427492, 0.096907, 0.016086, 2.021896,C
1.315148, 0.098777, 0.015279, 2.585320,D
1.174297, 0.094569, 0.016662, 2.509260,E
0.437581, 0.104795, 0.014240, 4.986297,F
1.703011, 0.099868, 0.014650, 2.632789,G
0.685894, 0.104323, 0.014735, 4.087576,H
0.492440, 0.101771, 0.012691, 4.042147,I
2.089728, 0.098410, 0.016793, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 39
1.236869, 0.087986, 0.013101, 2.978407,A
2.009290, 0.086874, 0.013750, 1.912332,B
1.427492, 0.085055, 0.013962, 2.021896,C
1.315148, 0.088296, 0.013447, 2.585320,D
1.174297, 0.084336, 0.014143, 2.509260,E
0.437581, 0.092079, 0.012653, 4.986297,F
1.703011, 0.087708, 0.013462, 2.632789,G
0.685894, 0.091064, 0.012901, 4.087576,H
0.492440, 0.089693, 0.011062, 4.042147,I
2.089728, 0.087927, 0.014714, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 40
1.236869, 0.077235, 0.011725, 2.978407,A
2.009290, 0.075752, 0.012618, 1.912332,B
1.427492, 0.075001, 0.012704, 2.021896,C
1.315148, 0.078591, 0.012199, 2.585320,D
1.174297, 0.076054, 0.013064, 2.509260,E
0.437581, 0.080764, 0.011503, 4.986297,F
1.703011, 0.077644, 0.012383, 2.632789,G
0.685894, 0.080397, 0.011755, 4.087576,H
0.492440, 0.079943, 0.010267, 4.042147,I
2.089728, 0.078945, 0.012766, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 41
1.236869, 0.067956, 0.010193, 2.978407,A
2.009290, 0.066541, 0.011113, 1.912332,B
1.427492, 0.066315, 0.011552, 2.021896,C
1.315148, 0.069098, 0.010740, 2.585320,D
1.174297, 0.068249, 0.010986, 2.509260,E
0.437581, 0.071149, 0.010129, 4.986297,F
1.703011, 0.067865, 0.010770, 2.632789,G
0.685894, 0.070912, 0.010086, 4.087576,H
0.492440, 0.072052, 0.009475, 4.042147,I
2.089728, 0.069564, 0.010970, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 42
1.236869, 0.059801, 0.008852, 2.978407,A
2.009290, 0.057879, 0.010096, 1.912332,B
1.427492, 0.058035, 0.010098, 2.021896,C
1.315148, 0.061110, 0.010103, 2.585320,D
1.174297, 0.060635, 0.009838, 2.509260,E
0.437581, 0.062633, 0.009287, 4.986297,F
1.703011, 0.058905, 0.009476, 2.632789,G
0.685894, 0.062578, 0.009010, 4.087576,H
0.492440, 0.062705, 0.008698, 4.042147,I
2.089728, 0.060427, 0.009599, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 43
1.236869, 0.053254, 0.008037, 2.978407,A
2.009290, 0.050537, 0.008829, 1.912332,B
1.427492, 0.050977, 0.008948, 2.021896,C
1.315148, 0.053383, 0.008496, 2.585320,D
1.174297, 0.053704, 0.008545, 2.509260,E
0.437581, 0.055223, 0.007830, 4.986297,F
1.703011, 0.051690, 0.008571, 2.632789,G
0.685894, 0.055473, 0.007747, 4.087576,H
0.492440, 0.055030, 0.007513, 4.042147,I
2.089728, 0.052336, 0.008074, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 44
1.236869, 0.047099, 0.007189, 2.978407,A
2.009290, 0.044250, 0.007848, 1.912332,B
1.427492, 0.045374, 0.008026, 2.021896,C
1.315148, 0.046857, 0.007556, 2.585320,D
1.174297, 0.046823, 0.007825, 2.509260,E
0.437581, 0.049134, 0.006631, 4.986297,F
1.703011, 0.045651, 0.007633, 2.632789,G
0.685894, 0.048629, 0.006670, 4.087576,H
0.492440, 0.049245, 0.006707, 4.042147,I
2.089728, 0.045781, 0.007056, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 45
1.236869, 0.041752, 0.006708, 2.978407,A
2.009290, 0.038713, 0.007020, 1.912332,B
