amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
 year: 21
0.387918, 1.572633, 0.183805, 2.978407, 8.080000, A
1.044679, 1.631955, 0.142112, 1.912332, 8.080000, B
1.464701, 1.513363, 0.159728, 2.021896, 8.080000, C
1.168551, 1.625998, 0.170514, 2.585320, 8.080000, D
1.127113, 1.559792, 0.143988, 2.509260, 8.080000, E
0.671035, 1.842450, 0.210471, 4.986297, 8.080000, F
0.772478, 1.602975, 0.134944, 2.632789, 8.080000, G
0.516535, 1.607224, 0.136299, 4.087576, 8.080000, H
0.637623, 1.616524, 0.122613, 4.042147, 8.080000, I
2.501958, 1.629970, 0.176214, 2.240037, 8.080000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 22
0.387918, 1.657060, 0.183849, 2.978407, 7.970000, A
1.044679, 1.474710, 0.145593, 1.912332, 7.970000, B
1.464701, 1.415839, 0.153457, 2.021896, 7.970000, C
1.168551, 1.542725, 0.151716, 2.585320, 7.970000, D
1.127113, 1.449754, 0.147421, 2.509260, 7.970000, E
0.671035, 1.590784, 0.165105, 4.986297, 7.970000, F
0.772478, 1.525803, 0.143084, 2.632789, 7.970000, G
0.516535, 1.603547, 0.160808, 4.087576, 7.970000, H
0.637623, 1.523061, 0.140264, 4.042147, 7.970000, I
2.501958, 1.576013, 0.172543, 2.240037, 7.970000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 23
0.387918, 1.481059, 0.142359, 2.978407, 7.960000, A
1.044679, 1.330290, 0.137095, 1.912332, 7.960000, B
1.464701, 1.391427, 0.173672, 2.021896, 7.960000, C
1.168551, 1.510055, 0.154068, 2.585320, 7.960000, D
1.127113, 1.416649, 0.153895, 2.509260, 7.960000, E
0.671035, 1.383847, 0.144569, 4.986297, 7.960000, F
0.772478, 1.446437, 0.138922, 2.632789, 7.960000, G
0.516535, 1.500195, 0.129293, 4.087576, 7.960000, H
0.637623, 1.550923, 0.133392, 4.042147, 7.960000, I
2.501958, 1.483280, 0.168377, 2.240037, 7.960000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 24
0.387918, 1.338434, 0.117036, 2.978407, 8.010000, A
1.044679, 1.213342, 0.133976, 1.912332, 8.010000, B
1.464701, 1.354597, 0.144314, 2.021896, 8.010000, C
1.168551, 1.392473, 0.136475, 2.585320, 8.010000, D
